row_type,measurement_index,target_x_mm,target_y_mm,target_force_N,actual_x_mm,actual_y_mm,position_time_s,actual_force_N,force_time_s,eit_0,eit_1,eit_2,eit_3,eit_4,eit_5,eit_6,eit_7,eit_8,eit_9,eit_10,eit_11,eit_12,eit_13,eit_14,eit_15,eit_time_s
contact,5.0,76.538462,21.102564,1.0,76.54,21.1,105.52327103400056,1.1186,113.35753128600028,0.14117692307692306,0.14373846153846154,0.13888461538461538,0.1388,0.2330615384615385,0.22334615384615386,0.42293076923076917,0.41904615384615373,0.1298076923076923,0.13709230769230768,0.21694615384615387,0.22733846153846154,0.15683076923076925,0.15836153846153847,0.18105384615384615,0.1768846153846154,114.50511634299984
baseline,6.0,66.692308,30.384615,2.0,66.69,30.38,116.97778722400017,0.0,,0.1416461538461538,0.14429230769230772,0.13975384615384615,0.14031538461538465,0.2138692307692308,0.20524615384615386,0.4425153846153846,0.44000769230769227,0.14143076923076925,0.15006153846153844,0.2252846153846154,0.23095384615384612,0.19649230769230774,0.19518461538461537,0.18141538461538462,0.1764692307692308,117.1024529690003
contact,6.0,66.692308,30.384615,2.0,66.69,30.38,116.97778722400017,2.1204,125.42887761600014,0.14060769230769235,0.1436076923076923,0.1376461538461538,0.13690769230769234,0.18549230769230768,0.17915384615384616,0.4299769230769232,0.4274769230769231,0.1366769230769231,0.14173846153846154,0.22739230769230773,0.2376538461538462,0.17693076923076928,0.18013846153846153,0.18410769230769228,0.17917692307692307,126.62351738800044
baseline,7.0,69.974359,24.760684,3.0,69.97,24.76,128.58706054600043,0.0,,0.14359999999999998,0.1462076923076923,0.13890769230769234,0.13892307692307695,0.2396769230769231,0.23043846153846154,0.4558692307692308,0.4555,0.1399384615384615,0.1487615384615385,0.23077692307692305,0.23753076923076927,0.16066923076923073,0.16173076923076923,0.18991538461538462,0.18549230769230768,128.78553324099994
contact,7.0,69.974359,24.760684,3.0,69.97,24.76,128.58706054600043,3.0861,139.46998838299987,0.1404461538461539,0.14292307692307693,0.13733076923076923,0.13712307692307693,0.21716923076923075,0.20846153846153845,0.4277692307692308,0.4271076923076923,0.13975384615384615,0.14893846153846155,0.23020000000000002,0.2363,0.15926923076923077,0.16096923076923078,0.18924615384615384,0.18524615384615384,140.4708267320002
baseline,8.0,101.153846,16.316239,3.0,101.15,16.32,144.42944899600025,0.0,,0.1395307692307692,0.14207692307692305,0.13736923076923074,0.13744615384615383,0.3082,0.2983,0.4998461538461539,0.5010692307692307,0.13781538461538462,0.14399230769230764,0.22655384615384613,0.23653846153846156,0.16246923076923078,0.16438461538461538,0.18902307692307693,0.18431538461538463,144.5807351000003
contact,8.0,101.153846,16.316239,3.0,101.15,16.32,144.42944899600025,3.5209,154.01189541300027,0.13774615384615382,0.14031538461538465,0.13492307692307695,0.13485384615384616,0.3049923076923077,0.29428461538461537,0.4308076923076924,0.4287384615384616,0.13412307692307696,0.14006923076923078,0.2353846153846154,0.2402076923076923,0.17023076923076924,0.17252307692307692,0.12471538461538463,0.14976153846153842,155.18397783199998
baseline,9.0,79.820513,17.569801,1.0,79.82,17.57,158.29392236600052,0.0,,0.13786153846153842,0.1403692307692308,0.13494615384615385,0.13470000000000001,0.3071923076923077,0.29691538461538464,0.2749923076923077,0.27316153846153846,0.13577692307692307,0.14085384615384616,0.23455384615384617,0.2431923076923077,0.16956153846153849,0.17217692307692306,0.19139230769230767,0.1880153846153846,158.42921093699988
contact,9.0,79.820513,17.569801,1.0,79.82,17.57,158.29392236600052,1.4177,167.56136671900003,0.13723846153846153,0.13973846153846153,0.13440769230769234,0.1342846153846154,0.30543846153846155,0.2949615384615385,0.2735769230769231,0.27133846153846153,0.1326692307692308,0.1376076923076923,0.23060769230769237,0.23885384615384614,0.16642307692307692,0.16890000000000002,0.18563846153846159,0.18296923076923077,168.59863834000043
baseline,10.0,66.692308,17.34188,4.0,66.69,17.34,171.07824058799997,0.0,,0.13722307692307692,0.13967692307692303,0.13460000000000003,0.13459230769230773,0.3057153846153846,0.2954,0.30119230769230765,0.29951538461538463,0.13546923076923073,0.1418153846153846,0.23100000000000004,0.2406307692307692,0.16793846153846148,0.17004615384615385,0.18744615384615385,0.1830846153846154,171.19569615599994
